filename,width,height,class,xmin,ymin,xmax,ymax
0.jpeg,64,64,MouthFatigue,1,1,64,53
0.jpeg,64,32,RightEyeFatigue,12,9,57,32
0.jpeg,64,32,Non-LeftEyeFatigue,6,2,57,30
0.jpeg,64,64,Non-MouthFatigue,1,2,64,46
0.jpeg,64,32,Non-RightEyeFatigue,8,8,52,32
0.jpeg,64,32,LeftEyeFatigue,11,6,55,25
1.jpeg,64,64,MouthFatigue,1,1,64,53
1.jpeg,64,32,RightEyeFatigue,12,12,54,32
1.jpeg,64,32,Non-LeftEyeFatigue,7,4,57,30
1.jpeg,64,64,Non-MouthFatigue,1,5,63,45
1.jpeg,64,32,Non-RightEyeFatigue,10,6,57,32
1.jpeg,64,32,LeftEyeFatigue,6,9,55,30
10.jpeg,64,64,MouthFatigue,1,2,64,55
10.jpeg,64,32,RightEyeFatigue,13,8,57,32
10.jpeg,64,32,Non-LeftEyeFatigue,6,3,57,31
10.jpeg,64,64,Non-MouthFatigue,1,4,64,42
10.jpeg,64,32,Non-RightEyeFatigue,8,6,54,32
10.jpeg,64,32,LeftEyeFatigue,3,4,52,30
100.jpeg,64,64,MouthFatigue,1,2,64,50
100.jpeg,64,32,RightEyeFatigue,12,7,62,32
100.jpeg,64,32,Non-LeftEyeFatigue,5,3,57,30
100.jpeg,64,64,Non-MouthFatigue,1,5,64,41
100.jpeg,64,32,Non-RightEyeFatigue,6,4,54,31
100.jpeg,64,32,LeftEyeFatigue,6,6,57,31
101.jpeg,64,64,MouthFatigue,1,3,64,54
101.jpeg,64,32,RightEyeFatigue,6,5,57,32
101.jpeg,64,32,Non-LeftEyeFatigue,7,5,57,30
101.jpeg,64,64,Non-MouthFatigue,1,4,63,44
101.jpeg,64,32,Non-RightEyeFatigue,9,5,60,29
101.jpeg,64,32,LeftEyeFatigue,3,5,52,29
102.jpeg,64,64,MouthFatigue,1,4,64,48
102.jpeg,64,32,RightEyeFatigue,8,5,61,32
102.jpeg,64,32,Non-LeftEyeFatigue,4,4,59,31
102.jpeg,64,64,Non-MouthFatigue,1,5,64,44
102.jpeg,64,32,Non-RightEyeFatigue,10,4,53,28
102.jpeg,64,32,LeftEyeFatigue,5,6,59,32
103.jpeg,64,64,MouthFatigue,1,4,64,53
103.jpeg,64,32,RightEyeFatigue,4,6,58,32
103.jpeg,64,32,Non-LeftEyeFatigue,5,5,57,32
103.jpeg,64,64,Non-MouthFatigue,1,3,64,43
103.jpeg,64,32,Non-RightEyeFatigue,7,4,58,32
103.jpeg,64,32,LeftEyeFatigue,2,5,55,31
104.jpeg,64,64,MouthFatigue,1,2,64,51
104.jpeg,64,32,RightEyeFatigue,5,4,64,31
104.jpeg,64,32,Non-LeftEyeFatigue,2,7,61,31
104.jpeg,64,64,Non-MouthFatigue,1,4,64,42
104.jpeg,64,32,Non-RightEyeFatigue,10,5,62,30
104.jpeg,64,32,LeftEyeFatigue,5,5,59,30
105.jpeg,64,64,MouthFatigue,1,3,64,52
105.jpeg,64,32,RightEyeFatigue,5,4,61,32
105.jpeg,64,32,Non-LeftEyeFatigue,4,3,60,32
105.jpeg,64,64,Non-MouthFatigue,1,4,64,45
105.jpeg,64,32,Non-RightEyeFatigue,7,3,60,32
105.jpeg,64,32,LeftEyeFatigue,5,6,57,27
106.jpeg,64,64,MouthFatigue,1,3,64,50
106.jpeg,64,32,RightEyeFatigue,6,6,61,32
106.jpeg,64,32,Non-LeftEyeFatigue,3,4,56,30
106.jpeg,64,64,Non-MouthFatigue,1,4,63,44
106.jpeg,64,32,Non-RightEyeFatigue,7,3,62,29
106.jpeg,64,32,LeftEyeFatigue,6,7,58,29
107.jpeg,64,64,MouthFatigue,1,3,64,52
107.jpeg,64,32,RightEyeFatigue,5,5,59,32
107.jpeg,64,32,Non-LeftEyeFatigue,6,3,57,30
107.jpeg,64,64,Non-MouthFatigue,1,5,64,42
107.jpeg,64,32,Non-RightEyeFatigue,6,4,57,29
107.jpeg,64,32,LeftEyeFatigue,3,5,59,30
108.jpeg,64,64,MouthFatigue,1,4,63,50
108.jpeg,64,32,RightEyeFatigue,5,5,60,32
108.jpeg,64,32,Non-LeftEyeFatigue,1,6,56,29
108.jpeg,64,64,Non-MouthFatigue,1,3,64,45
108.jpeg,64,32,Non-RightEyeFatigue,9,4,63,28
108.jpeg,64,32,LeftEyeFatigue,6,6,58,29
109.jpeg,64,64,MouthFatigue,1,2,64,50
109.jpeg,64,32,RightEyeFatigue,6,6,58,32
109.jpeg,64,32,Non-LeftEyeFatigue,3,6,60,30
109.jpeg,64,64,Non-MouthFatigue,1,4,64,46
109.jpeg,64,32,Non-RightEyeFatigue,6,4,61,28
109.jpeg,64,32,LeftEyeFatigue,2,4,58,29
11.jpeg,64,64,MouthFatigue,1,2,64,57
11.jpeg,64,32,RightEyeFatigue,11,9,57,32
11.jpeg,64,32,Non-LeftEyeFatigue,3,4,57,29
11.jpeg,64,64,Non-MouthFatigue,1,5,64,42
11.jpeg,64,32,Non-RightEyeFatigue,9,8,59,30
11.jpeg,64,32,LeftEyeFatigue,7,6,49,28
110.jpeg,64,64,MouthFatigue,1,2,64,52
110.jpeg,64,32,RightEyeFatigue,7,5,64,30
110.jpeg,64,32,Non-LeftEyeFatigue,6,5,56,28
110.jpeg,64,64,Non-MouthFatigue,1,5,64,46
110.jpeg,64,32,Non-RightEyeFatigue,9,4,62,27
110.jpeg,64,32,LeftEyeFatigue,6,5,59,30
111.jpeg,64,64,MouthFatigue,1,2,64,53
111.jpeg,64,32,RightEyeFatigue,5,6,60,32
111.jpeg,64,32,Non-LeftEyeFatigue,5,6,58,29
111.jpeg,64,64,Non-MouthFatigue,1,4,64,45
111.jpeg,64,32,Non-RightEyeFatigue,7,4,56,27
111.jpeg,64,32,LeftEyeFatigue,7,5,57,29
112.jpeg,64,64,MouthFatigue,1,1,64,50
112.jpeg,64,32,RightEyeFatigue,5,5,60,32
112.jpeg,64,32,Non-LeftEyeFatigue,1,2,61,30
112.jpeg,64,64,Non-MouthFatigue,1,5,64,53
112.jpeg,64,32,Non-RightEyeFatigue,7,4,58,25
112.jpeg,64,32,LeftEyeFatigue,7,3,57,30
113.jpeg,64,64,MouthFatigue,1,1,64,49
113.jpeg,64,32,RightEyeFatigue,6,6,59,32
113.jpeg,64,32,Non-LeftEyeFatigue,5,3,57,28
113.jpeg,64,64,Non-MouthFatigue,1,5,64,50
113.jpeg,64,32,Non-RightEyeFatigue,8,4,60,27
113.jpeg,64,32,LeftEyeFatigue,5,7,56,28
114.jpeg,64,64,MouthFatigue,1,1,63,44
114.jpeg,64,32,RightEyeFatigue,7,6,59,32
114.jpeg,64,32,Non-LeftEyeFatigue,1,3,57,28
114.jpeg,64,64,Non-MouthFatigue,1,6,64,49
114.jpeg,64,32,Non-RightEyeFatigue,7,3,59,27
114.jpeg,64,32,LeftEyeFatigue,10,8,57,30
115.jpeg,64,64,MouthFatigue,1,1,64,50
115.jpeg,64,32,RightEyeFatigue,7,4,55,32
115.jpeg,64,32,Non-LeftEyeFatigue,5,4,60,32
115.jpeg,64,64,Non-MouthFatigue,1,5,64,50
115.jpeg,64,32,Non-RightEyeFatigue,8,4,60,27
115.jpeg,64,32,LeftEyeFatigue,5,5,59,30
116.jpeg,64,64,MouthFatigue,1,1,64,47
116.jpeg,64,32,RightEyeFatigue,5,3,59,30
116.jpeg,64,32,Non-LeftEyeFatigue,1,4,58,27
116.jpeg,64,64,Non-MouthFatigue,1,7,64,52
116.jpeg,64,32,Non-RightEyeFatigue,8,4,58,26
116.jpeg,64,32,LeftEyeFatigue,5,4,60,29
117.jpeg,64,64,MouthFatigue,1,1,64,46
117.jpeg,64,32,RightEyeFatigue,4,3,59,32
117.jpeg,64,32,Non-LeftEyeFatigue,5,6,59,28
117.jpeg,64,64,Non-MouthFatigue,1,7,64,57
117.jpeg,64,32,Non-RightEyeFatigue,8,4,56,26
117.jpeg,64,32,LeftEyeFatigue,4,5,58,29
118.jpeg,64,64,MouthFatigue,1,1,64,49
118.jpeg,64,32,RightEyeFatigue,5,5,61,30
118.jpeg,64,32,Non-LeftEyeFatigue,1,6,56,27
118.jpeg,64,64,Non-MouthFatigue,1,4,64,41
118.jpeg,64,32,Non-RightEyeFatigue,9,4,59,30
118.jpeg,64,32,LeftEyeFatigue,5,5,59,28
119.jpeg,64,64,MouthFatigue,1,1,64,49
119.jpeg,64,32,RightEyeFatigue,5,4,62,30
119.jpeg,64,32,Non-LeftEyeFatigue,2,5,58,27
119.jpeg,64,64,Non-MouthFatigue,1,3,64,43
119.jpeg,64,32,Non-RightEyeFatigue,6,5,57,27
119.jpeg,64,32,LeftEyeFatigue,6,5,60,27
12.jpeg,64,64,MouthFatigue,1,1,64,53
12.jpeg,64,32,RightEyeFatigue,11,5,59,32
12.jpeg,64,32,Non-LeftEyeFatigue,7,3,58,29
12.jpeg,64,64,Non-MouthFatigue,1,3,64,46
12.jpeg,64,32,Non-RightEyeFatigue,8,6,58,30
12.jpeg,64,32,LeftEyeFatigue,3,4,57,31
120.jpeg,64,64,MouthFatigue,1,1,64,55
120.jpeg,64,32,RightEyeFatigue,2,7,53,32
120.jpeg,64,32,Non-LeftEyeFatigue,2,5,58,28
120.jpeg,64,64,Non-MouthFatigue,1,5,64,49
120.jpeg,64,32,Non-RightEyeFatigue,8,5,60,30
120.jpeg,64,32,LeftEyeFatigue,11,9,57,32
121.jpeg,64,64,MouthFatigue,1,1,64,51
121.jpeg,64,32,RightEyeFatigue,6,4,58,32
121.jpeg,64,32,Non-LeftEyeFatigue,5,6,59,29
121.jpeg,64,64,Non-MouthFatigue,1,5,64,48
121.jpeg,64,32,Non-RightEyeFatigue,8,4,58,31
121.jpeg,64,32,LeftEyeFatigue,10,9,60,32
122.jpeg,64,64,MouthFatigue,1,1,64,49
122.jpeg,64,32,RightEyeFatigue,7,5,56,32
122.jpeg,64,32,Non-LeftEyeFatigue,2,3,56,29
122.jpeg,64,64,Non-MouthFatigue,1,5,64,43
122.jpeg,64,32,Non-RightEyeFatigue,8,6,57,27
122.jpeg,64,32,LeftEyeFatigue,11,5,59,32
123.jpeg,64,64,MouthFatigue,1,3,64,48
123.jpeg,64,32,RightEyeFatigue,5,5,57,32
123.jpeg,64,32,Non-LeftEyeFatigue,5,5,59,27
123.jpeg,64,64,Non-MouthFatigue,1,3,64,44
123.jpeg,64,32,Non-RightEyeFatigue,8,4,55,24
123.jpeg,64,32,LeftEyeFatigue,6,10,56,32
124.jpeg,64,64,MouthFatigue,1,3,64,51
124.jpeg,64,32,RightEyeFatigue,3,6,57,32
124.jpeg,64,32,Non-LeftEyeFatigue,1,4,56,27
124.jpeg,64,64,Non-MouthFatigue,1,5,63,41
